card_id;front;back;catalan;español;palabra;categoría_gramatical;categoría_de_uso;audio_file_name
cat_esp_401;CAT: Estic molt {{c1::cansat}} avui.<br>ESP: Estoy muy {{c2::cansado}} hoy.;[sound:estic_molt_cansat_avui.mp3];Estic molt cansat avui.;Estoy muy cansado hoy.;cansat;adjectiu;Estat/Sensacions;estic_molt_cansat_avui.mp3
cat_esp_402;CAT: Ja estic {{c1::despert}}.<br>ESP: Ya estoy {{c2::despierto}}.;[sound:ja_estic_despert.mp3];Ja estic despert.;Ya estoy despierto.;despert;adjectiu;Estat;ja_estic_despert.mp3
cat_esp_403;CAT: El nen està {{c1::adormit}}.<br>ESP: El niño está {{c2::dormido}}.;[sound:el_nen_esta_adormit.mp3];El nen està adormit.;El niño está dormido.;adormit;adjectiu;Estat;el_nen_esta_adormit.mp3
cat_esp_404;CAT: Una {{c1::malaltia}} greu.<br>ESP: Una {{c2::enfermedad}} grave.;[sound:una_malaltia_greu.mp3];Una malaltia greu.;Una enfermedad grave.;malaltia;nom;Salut;una_malaltia_greu.mp3
cat_esp_405;CAT: Ves al {{c1::metge}} si et trobes malament.<br>ESP: Ve al {{c2::médico}} si te encuentras mal.;[sound:ves_al_metge_si_et_trobes_malament.mp3];Ves al metge si et trobes malament.;Ve al médico si te encuentras mal.;metge;nom;Professions/Salut;ves_al_metge_si_et_trobes_malament.mp3
cat_esp_406;CAT: L'{{c1::infermer}} em va ajudar.<br>ESP: El {{c2::enfermero}} me ayudó.;[sound:l_infermer_em_va_ajudar.mp3];L'infermer em va ajudar.;El enfermero me ayudó.;infermer;nom;Professions/Salut;l_infermer_em_va_ajudar.mp3
cat_esp_407;CAT: Compra això a la {{c1::farmàcia}}.<br>ESP: Compra esto en la {{c2::farmacia}}.;[sound:compra_aixo_a_la_farmacia.mp3];Compra això a la farmàcia.;Compra esto en la farmacia.;farmàcia;nom;Llocs/Salut;compra_aixo_a_la_farmacia.mp3
cat_esp_408;CAT: Pren la {{c1::medicina}} cada 8 hores.<br>ESP: Toma la {{c2::medicina}} cada 8 horas.;[sound:pren_la_medicina_cada_8_hores.mp3];Pren la medicina cada 8 hores.;Toma la medicina cada 8 horas.;medicina;nom;Salut;pren_la_medicina_cada_8_hores.mp3
cat_esp_409;CAT: Em pica la {{c1::cara}}.<br>ESP: Me pica la {{c2::cara}}.;[sound:em_pica_la_cara.mp3];Em pica la cara.;Me pica la cara.;cara;nom;Cos;em_pica_la_cara.mp3
cat_esp_410;CAT: Tanca els {{c1::ulls}}.<br>ESP: Cierra los {{c2::ojos}}.;[sound:tanca_els_ulls.mp3];Tanca els ulls.;Cierra los ojos.;ull;nom;Cos;tanca_els_ulls.mp3
