card_id;front;back;catalan;español;palabra;categoría_gramatical;categoría_de_uso;audio_file_name
cat_esp_101;CAT: El meu {{c1::carrer}} és tranquil.<br>ESP: Mi {{c2::calle}} es tranquila.;[sound:el_meu_carrer_es_tranquil.mp3];El meu carrer és tranquil.;Mi calle es tranquila.;carrer;nom;Llocs;el_meu_carrer_es_tranquil.mp3
cat_esp_102;CAT: La {{c1::política}} m'interessa poc.<br>ESP: La {{c2::política}} me interesa poco.;[sound:la_politica_minteressa_poc.mp3];La política m'interessa poc.;La política me interesa poco.;política;nom;Societat;la_politica_minteressa_poc.mp3
cat_esp_103;CAT: Es va donar un {{c1::cop}} al cap.<br>ESP: Se dio un {{c2::golpe}} en la cabeza.;[sound:es_va_donar_un_cop_al_cap.mp3];Es va donar un cop al cap.;Se dio un golpe en la cabeza.;cop;nom;Accions/Esdeveniments;es_va_donar_un_cop_al_cap.mp3
cat_esp_104;CAT: Un {{c1::grup}} d'amics.<br>ESP: Un {{c2::grupo}} de amigos.;[sound:un_grup_damics.mp3];Un grup d'amics.;Un grupo de amigos.;grup;nom;Gent/Social;un_grup_damics.mp3
cat_esp_105;CAT: El {{c1::procés}} és lent.<br>ESP: El {{c2::proceso}} es lento.;[sound:el_proces_es_lent.mp3];El procés és lent.;El proceso es lento.;procés;nom;General/Abstracte;el_proces_es_lent.mp3
cat_esp_106;CAT: Treballo {{c1::sense}} descans.<br>ESP: Trabajo {{c2::sin}} descanso.;[sound:treballo_sense_descans.mp3];Treballo sense descans.;Trabajo sin descanso.;sense;preposició;Relació/Exclusió;treballo_sense_descans.mp3
cat_esp_107;CAT: La {{c1::història}} és fascinant.<br>ESP: La {{c2::historia}} es fascinante.;[sound:la_historia_es_fascinant.mp3];La història és fascinant.;La historia es fascinante.;història;nom;Cultura/Temps;la_historia_es_fascinant.mp3
cat_esp_108;CAT: Marca un {{c1::punt}} aquí.<br>ESP: Marca un {{c2::punto}} aquí.;[sound:marca_un_punt_aqui.mp3];Marca un punt aquí.;Marca un punto aquí.;punt;nom;General/Lloc;marca_un_punt_aqui.mp3
cat_esp_109;CAT: Encén el {{c1::llum}}.<br>ESP: Enciende la {{c2::luz}}.;[sound:encen_el_llum.mp3];Encén el llum.;Enciende la luz.;llum;nom;Objectes/Fenòmens;encen_el_llum.mp3
cat_esp_110;CAT: Necessitem un {{c1::canvi}}.<br>ESP: Necesitamos un {{c2::cambio}}.;[sound:necessitem_un_canvi.mp3];Necessitem un canvi.;Necesitamos un cambio.;canvi;nom;General/Abstracte;necessitem_un_canvi.mp3
