card_id;front;back;catalan;español;palabra;categoría_gramatical;categoría_de_uso;audio_file_name
cat_esp_001;CAT: El llibre és {{c1::de}} Joan.<br>ESP: El libro es {{c2::de}} Juan.;[sound:el_llibre_es_de_joan.mp3];El llibre és de Joan.;El libro es de Juan.;de;preposició;Connectors/Preposicions;el_llibre_es_de_joan.mp3
cat_esp_002;CAT: {{c1::La}} casa és nova.<br>ESP: {{c2::La}} casa es nueva.;[sound:la_casa_es_nova.mp3];La casa és nova.;La casa es nueva.;la;article;Articles/Determinants;la_casa_es_nova.mp3
cat_esp_003;CAT: Pa {{c1::i}} formatge.<br>ESP: Pan {{c2::y}} queso.;[sound:pa_i_formatge.mp3];Pa i formatge.;Pan y queso.;i;conjunció;Connectors/Preposicions;pa_i_formatge.mp3
cat_esp_004;CAT: Vaig {{c1::a}} la platja.<br>ESP: Voy {{c2::a}} la playa.;[sound:vaig_a_la_platja.mp3];Vaig a la platja.;Voy a la playa.;a;preposició;Connectors/Preposicions;vaig_a_la_platja.mp3
cat_esp_005;CAT: {{c1::El}} cotxe és vermell.<br>ESP: {{c2::El}} coche es rojo.;[sound:el_cotxe_es_vermell.mp3];El cotxe és vermell.;El coche es rojo.;el;article;Articles/Determinants;el_cotxe_es_vermell.mp3
cat_esp_006;CAT: Crec {{c1::que}} sí.<br>ESP: Creo {{c2::que}} sí.;[sound:crec_que_si.mp3];Crec que sí.;Creo que sí.;que;conjunció/pronom;Connectors/Pronoms;crec_que_si.mp3
cat_esp_007;CAT: Estic {{c1::en}} pijama.<br>ESP: Estoy {{c2::en}} pijama.;[sound:estic_en_pijama.mp3];Estic en pijama.;Estoy en pijama.;en;preposició;Connectors/Preposicions;estic_en_pijama.mp3
cat_esp_008;CAT: {{c1::Un}} home alt.<br>ESP: {{c2::Un}} hombre alto.;[sound:un_home_alt.mp3];Un home alt.;Un hombre alto.;un;article;Articles/Determinants;un_home_alt.mp3
cat_esp_009;CAT: Vull {{c1::ser}} metge.<br>ESP: Quiero {{c2::ser}} médico.;[sound:vull_ser_metge.mp3];Vull ser metge.;Quiero ser médico.;ser;verb;Verbs Bàsics;vull_ser_metge.mp3
cat_esp_010;CAT: {{c1::No}} puc venir.<br>ESP: {{c2::No}} puedo venir.;[sound:no_puc_venir.mp3];No puc venir.;No puedo venir.;no;adverbi;Negació/Respostes;no_puc_venir.mp3
cat_esp_011;CAT: Ho faig {{c1::per}} tu.<br>ESP: Lo hago {{c2::por}} ti.;[sound:ho_faig_per_tu.mp3];Ho faig per tu.;Lo hago por ti.;per;preposició;Connectors/Preposicions;ho_faig_per_tu.mp3
cat_esp_012;CAT: Ell {{c1::es}} renta.<br>ESP: Él {{c2::se}} lava.;[sound:ell_es_renta.mp3];Ell es renta.;Él se lava.;es;pronom;Pronoms Reflexius;ell_es_renta.mp3
cat_esp_013;CAT: Cafè {{c1::amb}} llet.<br>ESP: Café {{c2::con}} leche.;[sound:cafe_amb_llet.mp3];Cafè amb llet.;Café con leche.;amb;preposició;Connectors/Preposicions;cafe_amb_llet.mp3
cat_esp_014;CAT: {{c1::Una}} dona forta.<br>ESP: {{c2::Una}} mujer fuerte.;[sound:una_dona_forta.mp3];Una dona forta.;Una mujer fuerte.;una;article;Articles/Determinants;una_dona_forta.mp3
cat_esp_015;CAT: {{c1::Els}} nens juguen.<br>ESP: {{c2::Los}} niños juegan.;[sound:els_nens_juguen.mp3];Els nens juguen.;Los niños juegan.;els;article;Articles/Determinants;els_nens_juguen.mp3
cat_esp_016;CAT: {{c1::Les}} flors són boniques.<br>ESP: {{c2::Las}} flores son bonitas.;[sound:les_flors_son_boniques.mp3];Les flors són boniques.;Las flores son bonitas.;les;article;Articles/Determinants;les_flors_son_boniques.mp3
cat_esp_017;CAT: Vull {{c1::més}} sopa.<br>ESP: Quiero {{c2::más}} sopa.;[sound:vull_mes_sopa.mp3];Vull més sopa.;Quiero más sopa.;més;adverbi/quantificador;Quantitat;vull_mes_sopa.mp3
cat_esp_018;CAT: {{c1::Haver}} menjat.<br>ESP: {{c2::Haber}} comido.;[sound:haver_menjat.mp3];Haver menjat.;Haber comido.;haver;verb auxiliar;Verbs Bàsics;haver_menjat.mp3
cat_esp_019;CAT: {{c1::Fer}} un pastís.<br>ESP: {{c2::Hacer}} un pastel.;[sound:fer_un_pastis.mp3];Fer un pastís.;Hacer un pastel.;fer;verb;Accions Bàsiques;fer_un_pastis.mp3
cat_esp_020;CAT: Ràpid {{c1::com}} el vent.<br>ESP: Rápido {{c2::como}} el viento.;[sound:rapid_com_el_vent.mp3];Ràpid com el vent.;Rápido como el viento.;com;adverbi/conjunció;Comparació/Manera;rapid_com_el_vent.mp3
