card_id;front;back;catalan;español;palabra;categoría_gramatical;categoría_de_uso;audio_file_name
cat_esp_901;CAT: Un {{c1::martell}} per clavar claus.<br>ESP: Un {{c2::martillo}} para clavar clavos.;[sound:un_martell_per_clavar_claus.mp3];Un martell per clavar claus.;Un martillo para clavar clavos.;martell;nom;Eines/Objectes;un_martell_per_clavar_claus.mp3
cat_esp_902;CAT: Necessito una {{c1::clau anglesa}}.<br>ESP: Necesito una {{c2::llave inglesa}}.;[sound:necessito_una_clau_anglesa.mp3];Necessito una clau anglesa.;Necesito una llave inglesa.;clau anglesa;nom (compost);Eines/Objectes;necessito_una_clau_anglesa.mp3
cat_esp_903;CAT: Passa'm el {{c1::tornavís}}.<br>ESP: Pásame el {{c2::destornillador}}.;[sound:passa_m_el_tornavis.mp3];Passa'm el tornavís.;Pásame el destornillador.;tornavís;nom;Eines/Objectes;passa_m_el_tornavis.mp3
cat_esp_904;CAT: El {{c1::cable}} està desconnectat.<br>ESP: El {{c2::cable}} está desconectado.;[sound:el_cable_esta_desconnectat.mp3];El cable està desconnectat.;El cable está desconectado.;cable;nom;Objectes/Tecnologia;el_cable_esta_desconnectat.mp3
cat_esp_905;CAT: Posa l'{{c1::endoll}} a la paret.<br>ESP: Pon el {{c2::enchufe}} en la pared.;[sound:posa_l_endoll_a_la_paret.mp3];Posa l'endoll a la paret.;Pon el enchufe en la pared.;endoll;nom;Objectes/Tecnologia;posa_l_endoll_a_la_paret.mp3
cat_esp_906;CAT: S'ha fos la {{c1::bombeta}}.<br>ESP: Se ha fundido la {{c2::bombilla}}.;[sound:s_ha_fos_la_bombeta.mp3];S'ha fos la bombeta.;Se ha fundido la bombilla.;bombeta;nom;Objectes/Casa;s_ha_fos_la_bombeta.mp3
cat_esp_907;CAT: Prem l'{{c1::interruptor}}.<br>ESP: Pulsa el {{c2::interruptor}}.;[sound:prem_l_interruptor.mp3];Prem l'interruptor.;Pulsa el interruptor.;interruptor;nom;Objectes/Casa;prem_l_interruptor.mp3
cat_esp_908;CAT: Cal {{c1::reparar}} la cadira.<br>ESP: Hay que {{c2::reparar}} la silla.;[sound:cal_reparar_la_cadira.mp3];Cal reparar la cadira.;Hay que reparar la silla.;reparar;verb;Accions;cal_reparar_la_cadira.mp3
cat_esp_909;CAT: Pots {{c1::arreglar}} això?<br>ESP: ¿Puedes {{c2::arreglar}} esto?;[sound:pots_arreglar_aixo.mp3];Pots arreglar això?;¿Puedes arreglar esto?;arreglar;verb;Accions;pots_arreglar_aixo.mp3
cat_esp_910;CAT: {{c1::Clavar}} un clau a la paret.<br>ESP: {{c2::Clavar}} un clavo en la pared.;[sound:clavar_un_clau_a_la_paret.mp3];Clavar un clau a la paret.;Clavar un clavo en la pared.;clavar;verb;Accions;clavar_un_clau_a_la_paret.mp3
cat_esp_911;CAT: {{c1::Cargolar}} un moble.<br>ESP: {{c2::Atornillar / Enroscar}} un mueble.;[sound:cargolar_un_moble.mp3];Cargolar un moble.;Atornillar / Enroscar un mueble.;cargolar;verb;Accions;cargolar_un_moble.mp3
cat_esp_912;CAT: Has de {{c1::connectar}} el cable.<br>ESP: Tienes que {{c2::conectar}} el cable.;[sound:has_de_connectar_el_cable.mp3];Has de connectar el cable.;Tienes que conectar el cable.;connectar;verb;Accions/Tecnologia;has_de_connectar_el_cable.mp3
cat_esp_913;CAT: No oblidis {{c1::desconnectar}} l'aparell.<br>ESP: No olvides {{c2::desconectar}} el aparato.;[sound:no_oblidis_desconnectar_l_aparell.mp3];No oblidis desconnectar l'aparell.;No olvides desconectar el aparato.;desconnectar;verb;Accions/Tecnologia;no_oblidis_desconnectar_l_aparell.mp3
cat_esp_914;CAT: {{c1::Prémer}} el botó vermell.<br>ESP: {{c2::Pulsar / Presionar}} el botón rojo.;[sound:premer_el_boto_vermell.mp3];Prémer el botó vermell.;Pulsar / Presionar el botón rojo.;prémer;verb;Accions;premer_el_boto_vermell.mp3
cat_esp_915;CAT: {{c1::Empènyer}} la porta per obrir.<br>ESP: {{c2::Empujar}} la puerta para abrir.;[sound:empenyer_la_porta_per_obrir.mp3];Empènyer la porta per obrir.;Empujar la puerta para abrir.;empènyer;verb;Accions;empenyer_la_porta_per_obrir.mp3
cat_esp_916;CAT: {{c1::Estirar}} la corda.<br>ESP: {{c2::Tirar de / Estirar}} la cuerda.;[sound:estirar_la_corda.mp3];Estirar la corda.;Tirar de / Estirar la cuerda.;estirar;verb;Accions;estirar_la_corda.mp3
