card_id;front;back;catalan;español;palabra;categoría_gramatical;categoría_de_uso;audio_file_name
cat_esp_301;CAT: Necessitem més {{c1::energia}}.<br>ESP: Necesitamos más {{c2::energía}}.;[sound:necessitem_mes_energia.mp3];Necessitem més energia.;Necesitamos más energía.;energia;nom;Abstracte/Física;necessitem_mes_energia.mp3
cat_esp_302;CAT: No perdis l'{{c1::esperança}}.<br>ESP: No pierdas la {{c2::esperanza}}.;[sound:no_perdis_l_esperanca.mp3];No perdis l'esperança.;No pierdas la esperanza.;esperança;nom;Emocions/Abstracte;no_perdis_l_esperanca.mp3
cat_esp_303;CAT: Té {{c1::por}} de la foscor.<br>ESP: Tiene {{c2::miedo}} de la oscuridad.;[sound:te_por_de_la_foscor.mp3];Té por de la foscor.;Tiene miedo de la oscuridad.;por;nom;Emocions;te_por_de_la_foscor.mp3
cat_esp_304;CAT: L'{{c1::amor}} mou el món.<br>ESP: El {{c2::amor}} mueve el mundo.;[sound:l_amor_mou_el_mon.mp3];L'amor mou el món.;El amor mueve el mundo.;amor;nom;Emocions/Relacions;l_amor_mou_el_mon.mp3
cat_esp_305;CAT: L'{{c1::odi}} destrueix.<br>ESP: El {{c2::odio}} destruye.;[sound:l_odi_destrueix.mp3];L'odi destrueix.;El odio destruye.;odi;nom;Emocions;l_odi_destrueix.mp3
cat_esp_306;CAT: Sentia una gran {{c1::alegria}}.<br>ESP: Sentía una gran {{c2::alegría}}.;[sound:sentia_una_gran_alegria.mp3];Sentia una gran alegria.;Sentía una gran alegría.;alegria;nom;Emocions;sentia_una_gran_alegria.mp3
cat_esp_307;CAT: La {{c1::tristesa}} el va envair.<br>ESP: La {{c2::tristeza}} le invadió.;[sound:la_tristesa_el_va_envair.mp3];La tristesa el va envair.;La tristeza le invadió.;tristesa;nom;Emocions;la_tristesa_el_va_envair.mp3
cat_esp_308;CAT: Busquem la {{c1::pau}} interior.<br>ESP: Buscamos la {{c2::paz}} interior.;[sound:busquem_la_pau_interior.mp3];Busquem la pau interior.;Buscamos la paz interior.;pau;nom;Abstracte/Societat;busquem_la_pau_interior.mp3
cat_esp_309;CAT: No facis {{c1::soroll}}.<br>ESP: No hagas {{c2::ruido}}.;[sound:no_facis_soroll.mp3];No facis soroll.;No hagas ruido.;soroll;nom;Sensacions/So;no_facis_soroll.mp3
cat_esp_310;CAT: Es va fer el {{c1::silenci}}.<br>ESP: Se hizo el {{c2::silencio}}.;[sound:es_va_fer_el_silenci.mp3];Es va fer el silenci.;Se hizo el silencio.;silenci;nom;Sensacions/So;es_va_fer_el_silenci.mp3
cat_esp_311;CAT: Té una {{c1::veu}} bonica.<br>ESP: Tiene una {{c2::voz}} bonita.;[sound:te_una_veu_bonica.mp3];Té una veu bonica.;Tiene una voz bonita.;veu;nom;Sensacions/So;te_una_veu_bonica.mp3
cat_esp_312;CAT: Una {{c1::paraula}} amable ajuda.<br>ESP: Una {{c2::palabra}} amable ayuda.;[sound:una_paraula_amable_ajuda.mp3];Una paraula amable ajuda.;Una palabra amable ayuda.;paraula;nom;Comunicació;una_paraula_amable_ajuda.mp3
cat_esp_313;CAT: Aquesta {{c1::lletra}} no s'entén.<br>ESP: Esta {{c2::letra}} no se entiende.;[sound:aquesta_lletra_no_s_enten.mp3];Aquesta lletra no s'entén.;Esta letra no se entiende.;lletra;nom;Comunicació/Escriptura;aquesta_lletra_no_s_enten.mp3
cat_esp_314;CAT: Escriu una {{c1::frase}} completa.<br>ESP: Escribe una {{c2::frase}} completa.;[sound:escriu_una_frase_completa.mp3];Escriu una frase completa.;Escribe una frase completa.;frase;nom;Comunicació/Escriptura;escriu_una_frase_completa.mp3
cat_esp_315;CAT: Llegeix el {{c1::text}} atentament.<br>ESP: Lee el {{c2::texto}} atentamente.;[sound:llegeix_el_text_atentament.mp3];Llegeix el text atentament.;Lee el texto atentamente.;text;nom;Comunicació/Escriptura;llegeix_el_text_atentament.mp3
cat_esp_316;CAT: El primer {{c1::capítol}} és curt.<br>ESP: El primer {{c2::capítulo}} es corto.;[sound:el_primer_capitol_es_curt.mp3];El primer capítol és curt.;El primer capítulo es corto.;capítol;nom;Llibres/Organització;el_primer_capitol_es_curt.mp3
cat_esp_317;CAT: Quin és el {{c1::títol}} del llibre?<br>ESP: ¿Cuál es el {{c2::título}} del libro?;[sound:quin_es_el_titol_del_llibre.mp3];Quin és el títol del llibre?;¿Cuál es el título del libro?;títol;nom;Llibres/Identificació;quin_es_el_titol_del_llibre.mp3
cat_esp_318;CAT: L'{{c1::autor}} signarà llibres.<br>ESP: El {{c2::autor}} firmará libros.;[sound:l_autor_signara_llibres.mp3];L'autor signarà llibres.;El autor firmará libros.;autor;nom;Art/Professions;l_autor_signara_llibres.mp3
cat_esp_319;CAT: Soc un {{c1::lector}} habitual.<br>ESP: Soy un {{c2::lector}} habitual.;[sound:soc_un_lector_habitual.mp3];Soc un lector habitual.;Soy un lector habitual.;lector;nom;Art/Gent;soc_un_lector_habitual.mp3
cat_esp_320;CAT: El {{c1::públic}} va aplaudir.<br>ESP: El {{c2::público}} aplaudió.;[sound:el_public_va_aplaudir.mp3];El públic va aplaudir.;El público aplaudió.;públic;nom;Art/Gent;el_public_va_aplaudir.mp3
cat_esp_321;CAT: El {{c1::client}} sempre té raó?<br>ESP: ¿El {{c2::cliente}} siempre tiene razón?;[sound:el_client_sempre_te_rao.mp3];El client sempre té raó?;¿El cliente siempre tiene razón?;client;nom;Economia/Gent;el_client_sempre_te_rao.mp3
cat_esp_322;CAT: El {{c1::pacient}} espera el metge.<br>ESP: El {{c2::paciente}} espera al médico.;[sound:el_pacient_espera_el_metge.mp3];El pacient espera el metge.;El paciente espera al médico.;pacient;nom;Salut/Gent;el_pacient_espera_el_metge.mp3
cat_esp_323;CAT: L'{{c1::alumne}} estudia la lliçó.<br>ESP: El {{c2::alumno}} estudia la lección.;[sound:l_alumne_estudia_la_llico.mp3];L'alumne estudia la lliçó.;El alumno estudia la lección.;alumne;nom;Educació/Gent;l_alumne_estudia_la_llico.mp3
cat_esp_324;CAT: El {{c1::professor}} ensenya mates.<br>ESP: El {{c2::profesor}} enseña mates.;[sound:el_professor_ensenya_mates.mp3];El professor ensenya mates.;El profesor enseña mates.;professor;nom;Educació/Professions;el_professor_ensenya_mates.mp3
cat_esp_325;CAT: El meu {{c1::company}} de feina.<br>ESP: Mi {{c2::compañero}} de trabajo.;[sound:el_meu_company_de_feina.mp3];El meu company de feina.;Mi compañero de trabajo.;company;nom;Treball/Gent;el_meu_company_de_feina.mp3
cat_esp_326;CAT: El {{c1::veí}} del costat és simpàtic.<br>ESP: El {{c2::vecino}} de al lado es simpático.;[sound:el_vei_del_costat_es_simpatic.mp3];El veí del costat és simpàtic.;El vecino de al lado es simpático.;veí;nom;Llocs/Gent;el_vei_del_costat_es_simpatic.mp3
cat_esp_327;CAT: No tinc cap {{c1::enemic}}.<br>ESP: No tengo ningún {{c2::enemigo}}.;[sound:no_tinc_cap_enemic.mp3];No tinc cap enemic.;No tengo ningún enemigo.;enemic;nom;Relacions/Gent;no_tinc_cap_enemic.mp3
cat_esp_328;CAT: És només un {{c1::conegut}}.<br>ESP: Es solo un {{c2::conocido}}.;[sound:es_nomes_un_conegut.mp3];És només un conegut.;Es solo un conocido.;conegut;nom;Relacions/Gent;es_nomes_un_conegut.mp3
cat_esp_329;CAT: És un {{c1::estrany}}.<br>ESP: Es un {{c2::extraño / desconocido}}.;[sound:es_un_estrany.mp3];És un estrany.;Es un extraño / desconocido.;estrany;nom/adjectiu;Gent/Descripció;es_un_estrany.mp3
cat_esp_330;CAT: Formem una gran {{c1::nació}}.<br>ESP: Formamos una gran {{c2::nación}}.;[sound:formem_una_gran_nacio.mp3];Formem una gran nació.;Formamos una gran nación.;nació;nom;Societat/Política;formem_una_gran_nacio.mp3
cat_esp_331;CAT: L'{{c1::estat}} garanteix els drets.<br>ESP: El {{c2::estado}} garantiza los derechos.;[sound:l_estat_garanteix_els_drets.mp3];L'estat garanteix els drets.;El estado garantiza los derechos.;estat;nom;Societat/Política;l_estat_garanteix_els_drets.mp3
cat_esp_332;CAT: Cal complir la {{c1::llei}}.<br>ESP: Hay que cumplir la {{c2::ley}}.;[sound:cal_complir_la_llei.mp3];Cal complir la llei.;Hay que cumplir la ley.;llei;nom;Societat/Normes;cal_complir_la_llei.mp3
cat_esp_333;CAT: Una {{c1::regla}} bàsica del joc.<br>ESP: Una {{c2::regla}} básica del juego.;[sound:una_regla_basica_del_joc.mp3];Una regla bàsica del joc.;Una regla básica del juego.;regla;nom;Societat/Normes;una_regla_basica_del_joc.mp3
cat_esp_334;CAT: Segueix la {{c1::norma}} establerta.<br>ESP: Sigue la {{c2::norma}} establecida.;[sound:segueix_la_norma_establerta.mp3];Segueix la norma establerta.;Sigue la norma establecida.;norma;nom;Societat/Normes;segueix_la_norma_establerta.mp3
cat_esp_335;CAT: Tinc {{c1::dret}} a opinar.<br>ESP: Tengo {{c2::derecho}} a opinar.;[sound:tinc_dret_a_opinar.mp3];Tinc dret a opinar.;Tengo derecho a opinar.;dret;nom;Societat/Normes;tinc_dret_a_opinar.mp3
cat_esp_336;CAT: És el meu {{c1::deure}} ajudar.<br>ESP: Es mi {{c2::deber}} ayudar.;[sound:es_el_meu_deure_ajudar.mp3];És el meu deure ajudar.;Es mi deber ayudar.;deure;nom;Societat/Normes;es_el_meu_deure_ajudar.mp3
cat_esp_337;CAT: Busquem la {{c1::justícia}} social.<br>ESP: Buscamos la {{c2::justicia}} social.;[sound:busquem_la_justicia_social.mp3];Busquem la justícia social.;Buscamos la justicia social.;justícia;nom;Societat/Abstracte;busquem_la_justicia_social.mp3
cat_esp_338;CAT: La {{c1::llibertat}} d'expressió.<br>ESP: La {{c2::libertad}} de expresión.;[sound:la_llibertat_d_expressio.mp3];La llibertat d'expressió.;La libertad de expresión.;llibertat;nom;Societat/Abstracte;la_llibertat_d_expressio.mp3
cat_esp_339;CAT: Volem més {{c1::seguretat}}.<br>ESP: Queremos más {{c2::seguridad}}.;[sound:volem_mes_seguretat.mp3];Volem més seguretat.;Queremos más seguridad.;seguretat;nom;Societat/Qualitat;volem_mes_seguretat.mp3
cat_esp_340;CAT: Hi ha {{c1::perill}} d'incendi.<br>ESP: Hay {{c2::peligro}} de incendio.;[sound:hi_ha_perill_d_incendi.mp3];Hi ha perill d'incendi.;Hay peligro de incendio.;perill;nom;Situacions/Qualitat;hi_ha_perill_d_incendi.mp3
cat_esp_341;CAT: Quin és el {{c1::risc}}?<br>ESP: ¿Cuál es el {{c2::riesgo}}?;[sound:quin_es_el_risc.mp3];Quin és el risc?;¿Cuál es el riesgo?;risc;nom;Situacions/Abstracte;quin_es_el_risc.mp3
cat_esp_342;CAT: Necessita {{c1::suport}} emocional.<br>ESP: Necesita {{c2::apoyo}} emocional.;[sound:necessita_suport_emocional.mp3];Necessita suport emocional.;Necesita apoyo emocional.;suport;nom;Abstracte/Relacions;necessita_suport_emocional.mp3
cat_esp_343;CAT: Dona'm un {{c1::consell}}.<br>ESP: Dame un {{c2::consejo}}.;[sound:dona_m_un_consell.mp3];Dona'm un consell.;Dame un consejo.;consell;nom;Comunicació;dona_m_un_consell.mp3
cat_esp_344;CAT: Va rebre una {{c1::crítica}}.<br>ESP: Recibió una {{c2::crítica}}.;[sound:va_rebre_una_critica.mp3];Va rebre una crítica.;Recibió una crítica.;crítica;nom;Comunicació/Opinió;va_rebre_una_critica.mp3
cat_esp_345;CAT: Un gran {{c1::èxit}}.<br>ESP: Un gran {{c2::éxito}}.;[sound:un_gran_exit.mp3];Un gran èxit.;Un gran éxito.;èxit;nom;Resultats/Abstracte;un_gran_exit.mp3
cat_esp_346;CAT: Va ser un {{c1::fracàs}}.<br>ESP: Fue un {{c2::fracaso}}.;[sound:va_ser_un_fracas.mp3];Va ser un fracàs.;Fue un fracaso.;fracàs;nom;Resultats/Abstracte;va_ser_un_fracas.mp3
cat_esp_347;CAT: Tinc un {{c1::dubte}}.<br>ESP: Tengo una {{c2::duda}}.;[sound:tinc_un_dubte.mp3];Tinc un dubte.;Tengo una duda.;dubte;nom;Ment/Opinió;tinc_un_dubte.mp3
cat_esp_348;CAT: La {{c1::certesa}} absoluta.<br>ESP: La {{c2::certeza}} absoluta.;[sound:la_certesa_absoluta.mp3];La certesa absoluta.;La certeza absoluta.;certesa;nom;Ment/Opinió;la_certesa_absoluta.mp3
cat_esp_349;CAT: Tenir {{c1::fe}} en algú.<br>ESP: Tener {{c2::fe}} en alguien.;[sound:tenir_fe_en_algu.mp3];Tenir fe en algú.;Tener fe en alguien.;fe;nom;Abstracte/Creença;tenir_fe_en_algu.mp3
cat_esp_350;CAT: La {{c1::raó}} i l'emoció.<br>ESP: La {{c2::razón}} y la emoción.;[sound:la_rao_i_l_emocio.mp3];La raó i l'emoció.;La razón y la emoción.;raó;nom;Ment/Abstracte;la_rao_i_l_emocio.mp3
cat_esp_351;CAT: Quin és el {{c1::sentit}}?<br>ESP: ¿Cuál es el {{c2::sentido}}?;[sound:quin_es_el_sentit.mp3];Quin és el sentit?;¿Cuál es el sentido?;sentit;nom;Abstracte/Significat;quin_es_el_sentit.mp3
cat_esp_352;CAT: El {{c1::significat}} de la paraula.<br>ESP: El {{c2::significado}} de la palabra.;[sound:el_significat_de_la_paraula.mp3];El significat de la paraula.;El significado de la palabra.;significat;nom;Comunicació/Abstracte;el_significat_de_la_paraula.mp3
cat_esp_353;CAT: Quina {{c1::importància}} té?<br>ESP: ¿Qué {{c2::importancia}} tiene?;[sound:quina_importancia_te.mp3];Quina importància té?;¿Qué importancia tiene?;importància;nom;Valoració/Abstracte;quina_importancia_te.mp3
cat_esp_354;CAT: El {{c1::preu}} és alt.<br>ESP: El {{c2::precio}} es alto.;[sound:el_preu_es_alt.mp3];El preu és alt.;El precio es alto.;preu;nom;Economia;el_preu_es_alt.mp3
cat_esp_355;CAT: Quin és el {{c1::cost}}?<br>ESP: ¿Cuál es el {{c2::coste}}?;[sound:quin_es_el_cost.mp3];Quin és el cost?;¿Cuál es el coste?;cost;nom;Economia;quin_es_el_cost.mp3
