card_id;front;back;catalan;español;palabra;categoría_gramatical;categoría_de_uso;audio_file_name
cat_esp_201;CAT: El meu {{c1::fill}} juga al parc.<br>ESP: Mi {{c2::hijo}} juega en el parque.;[sound:el_meu_fill_juga_al_parc.mp3];El meu fill juga al parc.;Mi hijo juega en el parque.;fill;nom;Gent/Família;el_meu_fill_juga_al_parc.mp3
cat_esp_202;CAT: La meva {{c1::filla}} estudia molt.<br>ESP: Mi {{c2::hija}} estudia mucho.;[sound:la_meva_filla_estudia_molt.mp3];La meva filla estudia molt.;Mi hija estudia mucho.;filla;nom;Gent/Família;la_meva_filla_estudia_molt.mp3
cat_esp_203;CAT: Aquest {{c1::nen}} és simpàtic.<br>ESP: Este {{c2::niño}} es simpático.;[sound:aquest_nen_es_simpatic.mp3];Aquest nen és simpàtic.;Este niño es simpático.;nen;nom;Gent/Edat;aquest_nen_es_simpatic.mp3
cat_esp_204;CAT: La {{c1::nena}} riu contenta.<br>ESP: La {{c2::niña}} ríe contenta.;[sound:la_nena_riu_contenta.mp3];La nena riu contenta.;La niña ríe contenta.;nena;nom;Gent/Edat;la_nena_riu_contenta.mp3
cat_esp_205;CAT: Va a l'{{c1::escola}} cada dia.<br>ESP: Va a la {{c2::escuela}} cada día.;[sound:va_a_l_escola_cada_dia.mp3];Va a l'escola cada dia.;Va a la escuela cada día.;escola;nom;Educació/Llocs;va_a_l_escola_cada_dia.mp3
cat_esp_206;CAT: El {{c1::mestre}} explica la lliçó.<br>ESP: El {{c2::maestro}} explica la lección.;[sound:el_mestre_explica_la_llico.mp3];El mestre explica la lliçó.;El maestro explica la lección.;mestre;nom;Professions/Educació;el_mestre_explica_la_llico.mp3
cat_esp_207;CAT: La {{c1::metgessa}} em va visitar.<br>ESP: La {{c2::médica}} me visitó.;[sound:la_metgessa_em_va_visitar.mp3];La metgessa em va visitar.;La médica me visitó.;metgessa;nom;Professions/Salut;la_metgessa_em_va_visitar.mp3
cat_esp_208;CAT: Aniré a l'{{c1::hospital}} demà.<br>ESP: Iré al {{c2::hospital}} mañana.;[sound:anire_a_l_hospital_dema.mp3];Aniré a l'hospital demà.;Iré al hospital mañana.;hospital;nom;Salut/Llocs;anire_a_l_hospital_dema.mp3
cat_esp_209;CAT: Passeig per la {{c1::plaça}}.<br>ESP: Paseo por la {{c2::plaza}}.;[sound:passeig_per_la_placa.mp3];Passeig per la plaça.;Paseo por la plaza.;plaça;nom;Llocs;passeig_per_la_placa.mp3
cat_esp_210;CAT: Creua el {{c1::pont}} amb compte.<br>ESP: Cruza el {{c2::puente}} con cuidado.;[sound:creua_el_pont_amb_compte.mp3];Creua el pont amb compte.;Cruza el puente con cuidado.;pont;nom;Llocs/Construccions;creua_el_pont_amb_compte.mp3
cat_esp_211;CAT: El {{c1::riu}} porta molta aigua.<br>ESP: El {{c2::río}} lleva mucha agua.;[sound:el_riu_porta_molta_aigua.mp3];El riu porta molta aigua.;El río lleva mucha agua.;riu;nom;Natura;el_riu_porta_molta_aigua.mp3
cat_esp_212;CAT: Pujarem a la {{c1::muntanya}}.<br>ESP: Subiremos a la {{c2::montaña}}.;[sound:pujarem_a_la_muntanya.mp3];Pujarem a la muntanya.;Subiremos a la montaña.;muntanya;nom;Natura/Llocs;pujarem_a_la_muntanya.mp3
cat_esp_213;CAT: Anem a la {{c1::platja}} a l'estiu.<br>ESP: Vamos a la {{c2::playa}} en verano.;[sound:anem_a_la_platja_a_l_estiu.mp3];Anem a la platja a l'estiu.;Vamos a la playa en verano.;platja;nom;Natura/Llocs;anem_a_la_platja_a_l_estiu.mp3
cat_esp_214;CAT: El {{c1::sol}} escalfa molt.<br>ESP: El {{c2::sol}} calienta mucho.;[sound:el_sol_escalfa_molt.mp3];El sol escalfa molt.;El sol calienta mucho.;sol;nom;Natura/Temps;el_sol_escalfa_molt.mp3
cat_esp_215;CAT: La {{c1::lluna}} és plena avui.<br>ESP: La {{c2::luna}} está llena hoy.;[sound:la_lluna_es_plena_avui.mp3];La lluna és plena avui.;La luna está llena hoy.;lluna;nom;Natura/Cel;la_lluna_es_plena_avui.mp3
cat_esp_216;CAT: Mira aquella {{c1::estrella}}!<br>ESP: ¡Mira aquella {{c2::estrella}}!;[sound:mira_aquella_estrella.mp3];Mira aquella estrella!;¡Mira aquella estrella!;estrella;nom;Natura/Cel;mira_aquella_estrella.mp3
cat_esp_217;CAT: El {{c1::cel}} és blau.<br>ESP: El {{c2::cielo}} es azul.;[sound:el_cel_es_blau.mp3];El cel és blau.;El cielo es azul.;cel;nom;Natura/Cel;el_cel_es_blau.mp3
cat_esp_218;CAT: Hi ha un {{c1::núvol}} gris.<br>ESP: Hay una {{c2::nube}} gris.;[sound:hi_ha_un_nuvol_gris.mp3];Hi ha un núvol gris.;Hay una nube gris.;núvol;nom;Natura/Temps;hi_ha_un_nuvol_gris.mp3
cat_esp_219;CAT: Avui hi haurà {{c1::pluja}}.<br>ESP: Hoy habrá {{c2::lluvia}}.;[sound:avui_hi_haura_pluja.mp3];Avui hi haurà pluja.;Hoy habrá lluvia.;pluja;nom;Natura/Temps;avui_hi_haura_pluja.mp3
cat_esp_220;CAT: Bufa molt de {{c1::vent}}.<br>ESP: Sopla mucho {{c2::viento}}.;[sound:bufa_molt_de_vent.mp3];Bufa molt de vent.;Sopla mucho viento.;vent;nom;Natura/Temps;bufa_molt_de_vent.mp3
cat_esp_221;CAT: Tenim un {{c1::problema}}.<br>ESP: Tenemos un {{c2::problema}}.;[sound:tenim_un_problema.mp3];Tenim un problema.;Tenemos un problema.;problema;nom;Abstracte/Situacions;tenim_un_problema.mp3
cat_esp_222;CAT: Busca una {{c1::solució}}.<br>ESP: Busca una {{c2::solución}}.;[sound:busca_una_solucio.mp3];Busca una solució.;Busca una solución.;solució;nom;Abstracte/Situacions;busca_una_solucio.mp3
cat_esp_223;CAT: Tinc una {{c1::idea}} genial.<br>ESP: Tengo una {{c2::idea}} genial.;[sound:tinc_una_idea_genial.mp3];Tinc una idea genial.;Tengo una idea genial.;idea;nom;Ment/Abstracte;tinc_una_idea_genial.mp3
cat_esp_224;CAT: Fes una {{c1::pregunta}}.<br>ESP: Haz una {{c2::pregunta}}.;[sound:fes_una_pregunta.mp3];Fes una pregunta.;Haz una pregunta.;pregunta;nom;Comunicació;fes_una_pregunta.mp3
cat_esp_225;CAT: Quina és la {{c1::resposta}}?<br>ESP: ¿Cuál es la {{c2::respuesta}}?;[sound:quina_es_la_resposta.mp3];Quina és la resposta?;¿Cuál es la respuesta?;resposta;nom;Comunicació;quina_es_la_resposta.mp3
cat_esp_226;CAT: Escriu una {{c1::carta}}.<br>ESP: Escribe una {{c2::carta}}.;[sound:escriu_una_carta.mp3];Escriu una carta.;Escribe una carta.;carta;nom;Comunicació;escriu_una_carta.mp3
cat_esp_227;CAT: Envia un {{c1::correu}} electrònic.<br>ESP: Envía un {{c2::correo}} electrónico.;[sound:envia_un_correu_electronic.mp3];Envia un correu electrònic.;Envía un correo electrónico.;correu;nom;Comunicació;envia_un_correu_electronic.mp3
cat_esp_228;CAT: Truca per {{c1::telèfon}}.<br>ESP: Llama por {{c2::teléfono}}.;[sound:truca_per_telefon.mp3];Truca per telèfon.;Llama por teléfono.;telèfon;nom;Comunicació/Objectes;truca_per_telefon.mp3
cat_esp_229;CAT: L'{{c1::ordinador}} no funciona.<br>ESP: El {{c2::ordenador}} no funciona.;[sound:l_ordinador_no_funciona.mp3];L'ordinador no funciona.;El ordenador no funciona.;ordinador;nom;Tecnologia/Objectes;l_ordinador_no_funciona.mp3
cat_esp_230;CAT: M'agrada {{c1::treballar}} aquí.<br>ESP: Me gusta {{c2::trabajar}} aquí.;[sound:magrada_treballar_aqui.mp3];M'agrada treballar aquí.;Me gusta trabajar aquí.;treballar;verb;Treball/Accions;magrada_treballar_aqui.mp3
cat_esp_231;CAT: Hem d'{{c1::estudiar}} més.<br>ESP: Tenemos que {{c2::estudiar}} más.;[sound:hem_d_estudiar_mes.mp3];Hem d'estudiar més.;Tenemos que estudiar más.;estudiar;verb;Educació/Accions;hem_d_estudiar_mes.mp3
cat_esp_232;CAT: Vull {{c1::aprendre}} idiomes.<br>ESP: Quiero {{c2::aprender}} idiomas.;[sound:vull_aprendre_idiomes.mp3];Vull aprendre idiomes.;Quiero aprender idiomas.;aprendre;verb;Educació/Accions;vull_aprendre_idiomes.mp3
cat_esp_233;CAT: Ell pot {{c1::ensenyar}}-te.<br>ESP: Él puede {{c2::enseñar}}te.;[sound:ell_pot_ensenyar_te.mp3];Ell pot ensenyar-te.;Él puede enseñarte.;ensenyar;verb;Educació/Accions;ell_pot_ensenyar_te.mp3
